event_id,random_seed,sim_natural_frequency,sim_amplitude,sim_damping_ratio,sim_impact_strength,sim_noise_level,sim_optical_noise,sim_sampling_rate,sim_duration,vibration_mean,vibration_std,vibration_rms,vibration_variance,vibration_peak,vibration_peak_to_peak,vibration_crest_factor,vibration_kurtosis,vibration_skewness,vibration_zero_crossing_rate,vibration_energy,dominant_frequency,dominant_frequency_amplitude,spectral_energy,spectral_centroid,spectral_bandwidth,spectral_peak_count,optical_displacement_max,optical_displacement_rms,optical_displacement_mean,optical_displacement_std,optical_velocity_max,optical_velocity_rms,optical_acceleration_max,optical_acceleration_rms,optical_dominant_frequency,optical_frequency_amplitude,optical_rotation_max,optical_rotation_rms,vibration_optical_correlation,cross_correlation_max,cross_correlation_lag_seconds,scenario
normal_00001,191664963,5.219559,0.722071,0.071518,1.347265,0.029552,0.018587,100.000000,10.000000,0.000000,0.329351,0.329351,0.108472,9.291532,10.233730,28.211665,641.505377,23.224422,0.286286,108.471885,5.500000,0.091375,0.395150,21.731652,13.465167,1.000000,0.991992,0.147158,0.109107,0.098749,24.659501,3.155302,952.972554,110.073950,5.500000,0.066496,0.082500,0.015160,-0.170242,0.269138,-0.070000,NORMAL
normal_00002,1662057957,4.860295,0.714949,0.070828,0.577917,0.028159,0.020619,100.000000,10.000000,0.000000,0.132014,0.132014,0.017428,3.658003,3.997884,27.709176,598.635862,22.166415,0.324324,17.427736,5.000000,0.035901,0.042939,21.506669,13.514294,34.000000,0.341037,0.086018,0.074555,0.042902,9.186350,1.476180,387.577245,55.886286,4.900000,0.034576,0.040000,0.011919,-0.181328,0.193074,-0.080000,NORMAL
normal_00003,1405681631,4.752874,0.394197,0.063530,0.704334,0.057937,0.020694,100.000000,10.000000,-0.000000,0.155438,0.155438,0.024161,4.449474,4.660759,28.625466,682.446464,24.523750,0.359359,24.160855,5.200000,0.026146,0.058931,21.958220,13.617614,70.000000,0.316315,0.082099,0.073932,0.035697,6.560277,1.179573,220.058796,49.003527,4.700000,0.022623,0.040000,0.011826,-0.059471,0.146363,-0.070000,NORMAL
normal_00004,942484272,4.932644,0.477330,0.062774,1.415798,0.045030,0.012471,100.000000,10.000000,0.000000,0.323062,0.323062,0.104369,9.325161,9.931150,28.864925,705.574727,25.120690,0.307307,104.369075,5.200000,0.037519,0.055863,21.495466,13.541663,29.000000,0.587626,0.099443,0.073495,0.066987,16.905388,2.339675,623.284457,76.896624,4.900000,0.035844,0.065000,0.010167,-0.175101,0.248719,-0.070000,NORMAL
normal_00005,929893137,5.002033,0.407987,0.053621,0.949954,0.041143,0.016029,100.000000,10.000000,0.000000,0.219780,0.219780,0.048303,6.297342,6.657600,28.652906,685.111699,24.589561,0.328328,48.303347,5.200000,0.034704,0.066273,21.609074,13.644370,47.000000,0.419031,0.086465,0.071680,0.048354,10.676031,1.688925,357.875870,59.464845,5.000000,0.031111,0.045000,0.010908,-0.169342,-0.222132,-0.170000,NORMAL
normal_00006,1843824992,5.178309,0.446614,0.058258,1.440092,0.047523,0.015537,100.000000,10.000000,0.000000,0.342844,0.342844,0.117542,9.903786,10.558334,28.887118,707.159923,25.134972,0.268268,117.542279,5.400000,0.076114,0.529319,21.729807,13.552995,7.000000,0.621703,0.102051,0.079710,0.063724,15.910149,2.324899,608.798350,80.155640,5.100000,0.061251,0.062500,0.011492,-0.112526,0.241796,-0.060000,NORMAL
normal_00007,184566854,5.139355,0.948192,0.047452,1.630163,0.062908,0.011864,100.000000,10.000000,0.000000,0.416810,0.416810,0.173731,10.905154,12.322134,26.163365,474.040486,18.407149,0.188188,173.730631,5.600000,0.117298,0.394789,21.020619,13.538199,7.000000,1.340815,0.222961,0.145145,0.169247,40.153381,5.992325,1437.665971,196.390727,5.000000,0.133934,0.115000,0.018744,-0.377219,-0.396834,0.010000,NORMAL
normal_00008,1497586438,4.695001,0.848054,0.067441,0.938074,0.054503,0.018742,100.000000,10.000000,0.000000,0.220744,0.220744,0.048728,5.878482,6.579587,26.630256,509.441252,19.527949,0.261261,48.728132,4.800000,0.049225,0.041660,20.723390,13.650178,41.000000,0.927407,0.153824,0.117042,0.099815,20.091571,3.142588,785.294493,100.310155,4.700000,0.058235,0.075000,0.014644,-0.272948,0.312330,-0.090000,NORMAL
normal_00009,432652533,5.156309,0.812828,0.046622,1.245499,0.038970,0.014218,100.000000,10.000000,0.000000,0.315150,0.315150,0.099320,8.527126,9.498298,27.057328,542.924361,20.489103,0.226226,99.319723,5.300000,0.126798,0.510302,21.463697,13.510829,2.000000,0.955225,0.162071,0.122307,0.106339,25.466819,3.887792,960.261109,129.363108,5.000000,0.110470,0.085000,0.015447,-0.310660,0.332114,-0.080000,NORMAL
normal_00010,202244314,4.877523,0.638334,0.058050,1.415374,0.052942,0.012945,100.000000,10.000000,-0.000000,0.326017,0.326017,0.106287,9.177873,9.941998,28.151514,637.553035,23.232366,0.266266,106.287110,5.100000,0.091826,0.315742,21.554929,13.537151,2.000000,0.756898,0.147497,0.113896,0.093718,21.261704,3.256143,770.422069,104.954237,5.100000,0.078617,0.075000,0.013500,-0.223121,0.254943,-0.070000,NORMAL
