feature,mean,std,median,q25,q75,iqr,min,max
vibration_mean,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
vibration_std,0.274357,0.087741,0.272353,0.198945,0.345758,0.146813,0.114520,0.467957
vibration_rms,0.274357,0.087741,0.272353,0.198945,0.345758,0.146813,0.114520,0.467957
vibration_variance,0.082959,0.049058,0.074176,0.039579,0.119549,0.079970,0.013115,0.218984
vibration_peak,7.637509,2.499564,7.620779,5.479373,9.666630,4.187257,3.129720,12.789374
vibration_peak_to_peak,8.342326,2.727065,8.305536,6.013951,10.546202,4.532252,3.438121,13.943672
vibration_crest_factor,27.771861,0.986016,27.916007,27.148710,28.557620,1.408910,23.211884,29.285600
vibration_kurtosis,607.796368,83.556544,615.315632,549.399748,674.896474,125.496726,292.976688,748.046035
vibration_skewness,22.321489,2.414789,22.565574,20.664310,24.259155,3.594845,12.803969,26.301994
vibration_zero_crossing_rate,0.260908,0.056040,0.258258,0.218218,0.298298,0.080080,0.147147,0.442442
vibration_energy,82.959187,49.058133,74.176127,39.579028,119.548729,79.969701,13.114878,218.983709
dominant_frequency,5.151143,0.265813,5.100000,5.000000,5.300000,0.300000,4.500000,6.500000
dominant_frequency_amplitude,0.066034,0.030344,0.061188,0.043421,0.081749,0.038327,0.016880,0.213002
spectral_energy,0.205699,0.182356,0.141439,0.070841,0.291636,0.220795,0.009691,0.874774
spectral_centroid,21.450643,0.307639,21.522543,21.295392,21.667589,0.372197,19.779459,21.986415
spectral_bandwidth,13.557212,0.071077,13.550706,13.514594,13.589449,0.074855,13.349455,13.927919
spectral_peak_count,19.705714,21.060624,12.000000,5.000000,27.000000,22.000000,1.000000,110.000000
optical_displacement_max,0.723050,0.286624,0.673492,0.503706,0.898939,0.395233,0.213312,1.493339
optical_displacement_rms,0.132906,0.031292,0.129588,0.109311,0.152165,0.042854,0.066864,0.240254
optical_displacement_mean,0.101705,0.018243,0.101182,0.087866,0.114298,0.026431,0.059371,0.160627
optical_displacement_std,0.083676,0.031069,0.075909,0.060009,0.102923,0.042914,0.029417,0.189574
optical_velocity_max,19.094032,8.199970,17.514011,12.946478,24.582410,11.635933,4.445560,42.727894
optical_velocity_rms,2.838766,1.122026,2.614092,2.009011,3.570975,1.561963,0.905404,6.594373
optical_acceleration_max,710.530958,304.759758,657.876950,473.740027,911.228800,437.488773,168.608008,1612.950108
optical_acceleration_rms,95.187882,34.880214,87.857350,68.691793,116.865819,48.174026,35.354465,214.403083
optical_dominant_frequency,4.977429,0.239645,5.000000,4.800000,5.125000,0.325000,4.400000,5.600000
optical_frequency_amplitude,0.065280,0.030940,0.059844,0.042533,0.080612,0.038079,0.015049,0.210547
optical_rotation_max,0.065132,0.021547,0.062500,0.047500,0.080000,0.032500,0.027500,0.135000
optical_rotation_rms,0.013408,0.002236,0.013233,0.011670,0.014776,0.003107,0.008193,0.021252
vibration_optical_correlation,-0.205135,0.100344,-0.199230,-0.276213,-0.127469,0.148744,-0.546688,0.006562
cross_correlation_max,0.027445,0.271170,0.174390,-0.245290,0.255170,0.500460,-0.546688,0.437023
cross_correlation_lag_seconds,-0.037386,0.062950,-0.060000,-0.070000,0.010000,0.080000,-0.190000,0.110000
