timestamp,true_displacement,vibration,optical_x,optical_y,optical_rotation,scenario
0.000000,0.150321,-0.014292,0.140000,0.090000,0.002500,CRITICAL
0.010000,0.316496,-0.065051,0.360000,0.080000,0.052500,CRITICAL
0.020000,0.478929,-0.170728,0.500000,0.125000,0.057500,CRITICAL
0.030000,0.630618,-0.290193,0.655000,0.100000,0.097500,CRITICAL
0.040000,0.752572,-0.429413,0.760000,0.085000,0.105000,CRITICAL
0.050000,0.834640,-0.455354,0.880000,0.130000,0.102500,CRITICAL
0.060000,0.870712,-0.469836,0.915000,0.120000,0.127500,CRITICAL
0.070000,0.859673,-0.429094,0.865000,0.140000,0.100000,CRITICAL
0.080000,0.813585,-0.369178,0.800000,0.135000,0.127500,CRITICAL
0.090000,0.725497,-0.424615,0.785000,0.135000,0.062500,CRITICAL
0.100000,0.592841,-0.236138,0.570000,0.090000,0.087500,CRITICAL
0.110000,0.438947,0.007527,0.470000,0.110000,0.060000,CRITICAL
0.120000,0.280980,0.120809,0.250000,0.115000,0.017500,CRITICAL
0.130000,0.131623,0.240951,0.205000,0.090000,0.027500,CRITICAL
0.140000,0.008988,0.220358,0.045000,0.025000,-0.012500,CRITICAL
0.150000,-0.090082,0.171179,-0.095000,0.035000,0.002500,CRITICAL
0.160000,-0.171578,0.229200,-0.160000,-0.000000,-0.017500,CRITICAL
0.170000,-0.228435,0.145017,-0.200000,0.020000,-0.040000,CRITICAL
0.180000,-0.265965,0.111807,-0.315000,-0.030000,-0.020000,CRITICAL
0.190000,-0.293590,0.203931,-0.325000,0.030000,-0.042500,CRITICAL
0.200000,-0.305647,0.301329,-0.280000,-0.010000,-0.070000,CRITICAL
0.210000,-0.282765,0.433611,-0.275000,0.005000,-0.060000,CRITICAL
0.220000,-0.213641,0.215588,-0.190000,0.050000,-0.037500,CRITICAL
0.230000,-0.107418,0.187597,-0.090000,0.050000,-0.037500,CRITICAL
0.240000,0.010405,-0.012334,0.020000,0.050000,0.007500,CRITICAL
0.250000,0.115968,-0.113172,0.150000,0.110000,0.012500,CRITICAL
0.260000,0.212794,0.101140,0.255000,0.060000,0.032500,CRITICAL
0.270000,0.320497,0.207247,0.315000,0.095000,0.035000,CRITICAL
0.280000,0.454766,0.096440,0.490000,0.100000,0.042500,CRITICAL
0.290000,0.609212,-0.033600,0.615000,0.125000,0.090000,CRITICAL
0.300000,0.761326,-0.219430,0.755000,0.165000,0.085000,CRITICAL
0.310000,0.897058,-0.357352,0.915000,0.110000,0.112500,CRITICAL
0.320000,1.002074,-0.428842,0.990000,0.150000,0.132500,CRITICAL
0.330000,1.065045,-0.400786,1.080000,0.190000,0.137500,CRITICAL
0.340000,1.085732,-0.397944,1.060000,0.170000,0.140000,CRITICAL
0.350000,1.067055,-0.318836,1.090000,0.195000,0.147500,CRITICAL
0.360000,1.017694,-0.272376,1.035000,0.175000,0.140000,CRITICAL
0.370000,0.942955,-0.287273,0.970000,0.165000,0.127500,CRITICAL
0.380000,0.845705,-0.242863,0.855000,0.115000,0.122500,CRITICAL
0.390000,0.727508,-0.195540,0.710000,0.185000,0.122500,CRITICAL
0.400000,0.582160,-0.190754,0.590000,0.145000,0.077500,CRITICAL
0.410000,0.417539,-0.230023,0.450000,0.115000,0.075000,CRITICAL
0.420000,0.238100,-0.085967,0.255000,0.050000,0.030000,CRITICAL
0.430000,0.043785,0.074184,0.085000,0.005000,0.017500,CRITICAL
0.440000,-0.139802,0.374700,-0.165000,0.000000,-0.025000,CRITICAL
0.450000,-0.283833,0.359769,-0.290000,-0.000000,-0.037500,CRITICAL
0.460000,-0.380227,0.471982,-0.365000,0.020000,-0.047500,CRITICAL
0.470000,-0.435637,0.329264,-0.435000,0.005000,-0.065000,CRITICAL
0.480000,-0.450229,0.341619,-0.420000,0.020000,-0.042500,CRITICAL
0.490000,-0.432431,0.268871,-0.450000,-0.015000,-0.067500,CRITICAL
0.500000,-0.398051,0.158098,-0.400000,-0.025000,-0.075000,CRITICAL
0.510000,-0.349748,0.207651,-0.375000,-0.010000,-0.060000,CRITICAL
0.520000,-0.288849,0.186631,-0.280000,-0.005000,-0.032500,CRITICAL
