timestamp,true_displacement,vibration,optical_x,optical_y,optical_rotation,scenario
0.000000,0.080296,0.014585,0.100000,0.090000,0.007500,NORMAL
0.010000,0.073091,-0.009696,0.060000,0.030000,0.005000,NORMAL
0.020000,0.063830,-0.046625,0.095000,0.065000,0.015000,NORMAL
0.030000,0.053732,0.002507,0.055000,0.045000,-0.010000,NORMAL
0.040000,0.045244,0.040899,0.050000,0.035000,0.010000,NORMAL
0.050000,0.039658,0.049470,0.050000,0.050000,0.010000,NORMAL
0.060000,0.036554,0.019417,0.030000,0.050000,-0.002500,NORMAL
0.070000,0.035630,0.047333,0.040000,0.080000,0.007500,NORMAL
0.080000,0.039635,0.016990,0.055000,0.050000,-0.005000,NORMAL
0.090000,0.048210,0.032833,0.040000,0.030000,0.002500,NORMAL
0.100000,0.057168,-0.003903,0.075000,0.065000,0.010000,NORMAL
0.110000,0.064935,-0.005688,0.090000,0.045000,0.015000,NORMAL
0.120000,0.071306,-0.062281,0.055000,0.060000,0.005000,NORMAL
0.130000,0.076640,-0.004034,0.085000,0.040000,0.007500,NORMAL
0.140000,0.081359,-0.007324,0.065000,0.080000,0.015000,NORMAL
0.150000,0.083948,-0.032698,0.090000,0.030000,-0.000000,NORMAL
0.160000,0.083923,-0.026414,0.090000,0.055000,-0.010000,NORMAL
0.170000,0.083435,0.002192,0.110000,0.060000,0.002500,NORMAL
0.180000,0.083244,-0.025938,0.095000,0.055000,0.017500,NORMAL
0.190000,0.082163,-0.009493,0.100000,0.050000,0.007500,NORMAL
0.200000,0.079208,-0.045508,0.105000,0.030000,-0.002500,NORMAL
0.210000,0.074615,0.026621,0.085000,0.035000,0.005000,NORMAL
0.220000,0.071474,-0.010872,0.075000,0.025000,0.010000,NORMAL
0.230000,0.071999,-0.021043,0.100000,0.050000,0.005000,NORMAL
0.240000,0.074483,-0.007958,0.045000,0.055000,0.020000,NORMAL
0.250000,0.075795,-0.045954,0.070000,0.055000,0.015000,NORMAL
0.260000,0.074226,-0.060981,0.080000,0.050000,-0.007500,NORMAL
0.270000,0.069913,-0.009625,0.110000,0.020000,0.017500,NORMAL
0.280000,0.064033,0.013741,0.105000,0.025000,-0.005000,NORMAL
0.290000,0.060109,0.075198,0.065000,0.070000,0.002500,NORMAL
0.300000,0.061078,0.044488,0.065000,0.020000,0.010000,NORMAL
0.310000,0.066135,0.042474,0.065000,0.055000,-0.007500,NORMAL
0.320000,0.073233,-0.018901,0.095000,0.065000,-0.015000,NORMAL
0.330000,0.080655,-0.006350,0.080000,0.065000,0.007500,NORMAL
0.340000,0.087084,0.043526,0.100000,0.075000,0.007500,NORMAL
0.350000,0.092365,-0.012127,0.095000,0.080000,0.005000,NORMAL
0.360000,0.096467,-0.051493,0.105000,0.055000,-0.005000,NORMAL
0.370000,0.097247,-0.045191,0.085000,0.050000,0.002500,NORMAL
0.380000,0.093251,-0.022822,0.115000,0.075000,0.005000,NORMAL
0.390000,0.087045,0.010147,0.085000,0.035000,0.002500,NORMAL
0.400000,0.080554,-0.041230,0.110000,0.065000,0.002500,NORMAL
0.410000,0.073821,0.017460,0.095000,0.050000,0.007500,NORMAL
0.420000,0.068424,0.009046,0.105000,0.080000,-0.010000,NORMAL
0.430000,0.064257,-0.000433,0.085000,0.060000,0.017500,NORMAL
0.440000,0.060243,0.030283,0.065000,0.050000,-0.005000,NORMAL
0.450000,0.057793,-0.031897,0.055000,0.050000,-0.007500,NORMAL
0.460000,0.056849,0.046551,0.040000,0.075000,-0.005000,NORMAL
0.470000,0.056632,0.017879,0.060000,0.055000,-0.002500,NORMAL
0.480000,0.057746,0.033171,0.075000,0.035000,0.002500,NORMAL
0.490000,0.059894,-0.014681,0.085000,0.040000,-0.012500,NORMAL
0.500000,0.062355,-0.000969,0.080000,0.075000,0.015000,NORMAL
0.510000,0.064662,-0.014542,0.085000,0.050000,-0.007500,NORMAL
0.520000,0.066394,0.010366,0.055000,0.045000,-0.007500,NORMAL
0.530000,0.067375,-0.026921,0.060000,0.065000,0.005000,NORMAL
0.540000,0.067701,0.045154,0.075000,0.060000,-0.002500,NORMAL
0.550000,0.067033,0.012994,0.075000,0.060000,0.010000,NORMAL
0.560000,0.066337,0.049445,0.080000,0.100000,-0.002500,NORMAL
0.570000,0.067807,0.027786,0.085000,0.055000,0.002500,NORMAL
0.580000,0.071710,0.028317,0.085000,0.045000,0.000000,NORMAL
0.590000,0.078260,0.024038,0.090000,0.040000,-0.000000,NORMAL
0.600000,0.087934,0.024590,0.115000,0.060000,0.000000,NORMAL
0.610000,0.098890,-0.001363,0.120000,0.070000,0.000000,NORMAL
0.620000,0.108050,-0.036633,0.100000,0.045000,0.002500,NORMAL
0.630000,0.114080,-0.022294,0.090000,0.095000,0.000000,NORMAL
0.640000,0.117944,0.000167,0.140000,0.045000,0.005000,NORMAL
0.650000,0.120463,-0.044064,0.095000,0.065000,0.002500,NORMAL
0.660000,0.121273,-0.026588,0.140000,0.075000,-0.000000,NORMAL
0.670000,0.119221,-0.057241,0.150000,0.065000,0.005000,NORMAL
0.680000,0.112666,-0.019051,0.130000,0.060000,-0.005000,NORMAL
0.690000,0.101814,-0.014115,0.105000,0.075000,-0.002500,NORMAL
0.700000,0.088741,0.002378,0.100000,0.065000,-0.000000,NORMAL
0.710000,0.074498,0.009780,0.095000,0.025000,-0.000000,NORMAL
0.720000,0.061074,0.061284,0.065000,0.085000,-0.002500,NORMAL
0.730000,0.051256,0.043542,0.075000,0.045000,0.002500,NORMAL
0.740000,0.045855,0.071732,0.050000,0.050000,-0.002500,NORMAL
0.750000,0.045126,0.004965,0.040000,0.070000,0.010000,NORMAL
0.760000,0.048237,0.028600,0.035000,0.080000,0.002500,NORMAL
0.770000,0.053564,0.026050,0.050000,0.055000,-0.002500,NORMAL
0.780000,0.062105,0.074913,0.090000,0.030000,0.000000,NORMAL
0.790000,0.075400,0.043728,0.080000,0.075000,-0.002500,NORMAL
0.800000,0.091086,0.017691,0.110000,0.060000,0.007500,NORMAL
0.810000,0.105879,-0.023840,0.140000,0.050000,-0.012500,NORMAL
0.820000,0.119456,-0.026460,0.105000,0.070000,0.010000,NORMAL
0.830000,0.130612,-0.070658,0.130000,0.090000,0.002500,NORMAL
0.840000,0.136219,-0.077365,0.140000,0.060000,-0.010000,NORMAL
0.850000,0.135415,-0.017998,0.150000,0.065000,0.012500,NORMAL
0.860000,0.130644,-0.042792,0.150000,0.055000,0.007500,NORMAL
0.870000,0.124516,-0.001671,0.110000,0.080000,-0.005000,NORMAL
0.880000,0.116688,0.011344,0.130000,0.095000,0.005000,NORMAL
0.890000,0.106400,0.013378,0.095000,0.050000,0.000000,NORMAL
0.900000,0.095696,0.041476,0.105000,0.055000,0.007500,NORMAL
0.910000,0.086694,-0.020451,0.065000,0.065000,0.007500,NORMAL
0.920000,0.079209,0.035755,0.070000,0.035000,0.002500,NORMAL
0.930000,0.073361,0.047261,0.090000,0.055000,0.007500,NORMAL
0.940000,0.069042,-0.009420,0.070000,0.075000,-0.002500,NORMAL
0.950000,0.065666,0.015405,0.070000,0.040000,-0.000000,NORMAL
0.960000,0.063955,0.021741,0.055000,0.070000,-0.002500,NORMAL
0.970000,0.064151,0.020840,0.090000,0.055000,0.002500,NORMAL
0.980000,0.066900,0.046150,0.060000,0.080000,-0.002500,NORMAL
0.990000,0.072857,-0.002505,0.060000,0.065000,-0.000000,NORMAL
1.000000,0.080684,0.004073,0.090000,0.065000,-0.000000,NORMAL
1.010000,0.088806,0.007941,0.120000,0.055000,-0.002500,NORMAL
