timestamp,true_displacement,vibration,optical_x,optical_y,optical_rotation,scenario
0.000000,0.099521,0.013462,0.125000,0.100000,0.012500,WARNING
0.010000,0.121830,-0.032207,0.105000,0.030000,0.012500,WARNING
0.020000,0.139479,-0.101043,0.185000,0.080000,0.030000,WARNING
0.030000,0.152247,-0.031882,0.155000,0.050000,-0.002500,WARNING
0.040000,0.164964,0.016438,0.175000,0.045000,0.022500,WARNING
0.050000,0.178767,0.010744,0.195000,0.065000,0.025000,WARNING
0.060000,0.189223,-0.031352,0.180000,0.065000,0.010000,WARNING
0.070000,0.193533,0.036441,0.200000,0.110000,0.025000,WARNING
0.080000,0.202196,-0.019609,0.220000,0.070000,0.010000,WARNING
0.090000,0.215183,-0.041416,0.205000,0.045000,0.017500,WARNING
0.100000,0.218716,-0.108927,0.240000,0.085000,0.030000,WARNING
0.110000,0.209798,-0.081961,0.245000,0.060000,0.035000,WARNING
0.120000,0.191088,-0.128372,0.170000,0.075000,0.020000,WARNING
0.130000,0.167581,-0.016793,0.180000,0.045000,0.020000,WARNING
0.140000,0.144420,-0.009423,0.125000,0.095000,0.025000,WARNING
0.150000,0.118835,-0.009599,0.130000,0.025000,0.002500,WARNING
0.160000,0.091322,0.061750,0.100000,0.055000,-0.010000,WARNING
0.170000,0.071857,0.128272,0.110000,0.060000,0.002500,WARNING
0.180000,0.064318,0.050203,0.085000,0.050000,0.022500,WARNING
0.190000,0.064188,0.026845,0.090000,0.045000,0.010000,WARNING
0.200000,0.066828,-0.032133,0.105000,0.020000,-0.002500,WARNING
0.210000,0.071439,0.119142,0.090000,0.025000,0.007500,WARNING
0.220000,0.087791,0.087706,0.090000,0.015000,0.015000,WARNING
0.230000,0.122154,0.026854,0.160000,0.055000,0.012500,WARNING
0.240000,0.165635,-0.035116,0.130000,0.065000,0.035000,WARNING
0.250000,0.203724,-0.149841,0.195000,0.070000,0.032500,WARNING
0.260000,0.227290,-0.191751,0.235000,0.060000,0.005000,WARNING
