feature,importance_mean,importance_std,domain
vibration_peak,0.0138,0.0036,VIBRATION
optical_dominant_frequency,0.0124,0.0045,OPTICAL
vibration_kurtosis,0.0122,0.0035,VIBRATION
dominant_frequency,0.0080,0.0036,FREQUENCY
vibration_skewness,0.0078,0.0033,VIBRATION
vibration_peak_to_peak,0.0044,0.0024,VIBRATION
vibration_optical_correlation,0.0016,0.0014,MULTIMODAL
cross_correlation_max,0.0013,0.0011,MULTIMODAL
optical_acceleration_max,0.0009,0.0011,OPTICAL
vibration_zero_crossing_rate,0.0009,0.0011,VIBRATION
spectral_centroid,0.0009,0.0011,FREQUENCY
vibration_crest_factor,0.0009,0.0011,VIBRATION
optical_frequency_amplitude,0.0004,0.0013,OPTICAL
spectral_bandwidth,0.0004,0.0009,FREQUENCY
spectral_peak_count,0.0002,0.0007,FREQUENCY
optical_displacement_mean,0.0002,0.0007,OPTICAL
optical_rotation_rms,0.0002,0.0007,OPTICAL
optical_displacement_std,0.0002,0.0007,OPTICAL
optical_displacement_rms,0.0002,0.0007,OPTICAL
vibration_energy,0.0000,0.0000,VIBRATION
vibration_variance,0.0000,0.0000,VIBRATION
vibration_rms,0.0000,0.0000,VIBRATION
vibration_std,0.0000,0.0000,VIBRATION
vibration_mean,0.0000,0.0000,VIBRATION
dominant_frequency_amplitude,0.0000,0.0000,FREQUENCY
spectral_energy,0.0000,0.0000,FREQUENCY
optical_displacement_max,0.0000,0.0000,OPTICAL
optical_velocity_max,0.0000,0.0000,OPTICAL
optical_velocity_rms,0.0000,0.0000,OPTICAL
optical_acceleration_rms,0.0000,0.0000,OPTICAL
optical_rotation_max,0.0000,0.0000,OPTICAL
cross_correlation_lag_seconds,0.0000,0.0000,MULTIMODAL
