timestamp,frame_index,structural_dx_pixels,structural_dy_pixels,structural_displacement_pixels,velocity_x_pixels_s,velocity_y_pixels_s,velocity_magnitude_pixels_s,acceleration_x_pixels_s2,acceleration_y_pixels_s2,acceleration_magnitude_pixels_s2,optical_dominant_frequency_hz,valid_feature_count,tracking_quality,camera_fps
104221.2878,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0,LOST,0.0000
104221.3971,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0,LOST,9.1490
104221.4368,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,13.4236
104221.4692,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,16.5403
104221.4784,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,20.9875
104221.5011,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,23.4432
104221.5347,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,24.3057
104221.5709,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,47,GOOD,24.7285
104221.5979,9,0.5996,-25.2134,25.2206,22.2122,-934.0173,934.2814,334.8956,-14082.2753,14086.2569,,22,GOOD,25.8008
104221.6446,10,0.0000,0.0000,25.2206,0.0000,0.0000,0.0000,54.2690,-2281.9987,2282.6439,,19,GOOD,25.2250
104221.6752,11,0.0000,0.0000,25.2206,0.0000,0.0000,0.0000,-96.7208,4067.0836,4068.2335,,19,GOOD,25.8108
104221.7050,12,0.0000,0.0000,25.2206,0.0000,0.0000,0.0000,-155.6402,6544.6324,6546.4828,,19,GOOD,26.3687
104221.7351,13,0.0000,0.0000,25.2206,0.0000,0.0000,0.0000,-142.5087,5992.4573,5994.1515,,19,GOOD,26.8304
104221.7661,14,0.0000,0.0000,25.2206,0.0000,0.0000,0.0000,-48.7607,2050.3754,2050.9551,,19,GOOD,27.1794
104221.7993,15,0.0000,0.0000,25.2206,0.0000,0.0000,0.0000,126.0183,-5299.0386,5300.5368,,19,GOOD,27.3699
104221.8282,16,0.0000,0.0000,25.2206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,27.7596
104221.8753,17,0.0000,0.0000,25.2206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,19,GOOD,27.2357
