timestamp,window_id,instant_prediction,stable_state,probability_normal,probability_warning,probability_critical,vibration_rms,vibration_peak,dominant_frequency,optical_displacement,optical_velocity,optical_acceleration,optical_dominant_frequency,vibration_optical_correlation,cross_correlation_max,cross_correlation_lag,state_duration,ground_truth_scenario,is_transition_window,candidate_state,candidate_count,feature_extraction_latency_ms,preprocessing_latency_ms,model_inference_latency_ms,temporal_decision_latency_ms,total_latency_ms
4.9900,0,NORMAL,NORMAL,0.9922,0.0078,0.0000,0.3393,6.8001,5.2000,0.5813,16.0434,648.0143,5.0000,-0.2351,0.2642,-0.0700,4.9900,NORMAL,False,,0,7.5752,19.6092,0.6567,0.0080,30.2360
5.9900,1,NORMAL,NORMAL,0.9805,0.0195,0.0000,0.3395,6.7996,5.2000,0.5477,16.0434,648.0143,4.8000,-0.2798,0.2866,-0.0700,5.9900,NORMAL,False,,0,4.9995,1.7282,0.7713,0.0089,10.1274
6.9900,2,NORMAL,NORMAL,0.8522,0.1478,0.0000,0.3394,6.7998,5.4000,0.5454,22.9674,531.9474,4.8000,-0.2936,-0.2936,0.0000,6.9900,NORMAL,False,,0,5.1004,1.4493,0.6250,0.0069,8.7350
7.9900,3,NORMAL,NORMAL,0.9993,0.0007,0.0000,0.3345,6.7473,5.6000,0.5519,14.9606,535.0743,5.0000,-0.2284,-0.2430,-0.1700,7.9900,NORMAL,False,,0,3.6708,0.9088,0.4117,0.0040,5.9296
8.9900,4,NORMAL,NORMAL,0.9991,0.0009,0.0000,0.3344,6.7471,5.6000,0.5076,14.9606,535.0743,5.0000,-0.2046,-0.2199,-0.1700,8.9900,NORMAL,False,,0,2.8766,0.7816,0.3761,0.0034,4.8902
9.9900,5,NORMAL,NORMAL,0.9984,0.0016,0.0000,0.3341,6.7467,5.4000,0.4917,14.9606,535.0743,5.0000,-0.2152,0.2627,-0.0700,9.9900,NORMAL,False,,0,3.0478,2.2644,0.8662,0.0102,7.7353
10.9900,6,NORMAL,NORMAL,0.9946,0.0054,0.0000,0.3341,6.7474,5.2000,0.4923,14.9606,535.0743,4.8000,-0.2196,0.2644,-0.0700,10.9900,NORMAL,False,,0,5.8076,1.4446,0.6290,0.0074,9.3776
11.9900,7,NORMAL,NORMAL,0.8291,0.1708,0.0000,0.3338,6.7471,4.8000,0.4939,18.1507,442.4421,4.8000,-0.2031,0.2329,-0.0700,11.9900,NORMAL,False,,0,7.1721,1.6846,0.7326,0.0124,11.3040
12.9900,8,NORMAL,NORMAL,1.0000,0.0000,0.0000,0.3294,6.6985,6.6000,0.6004,13.6244,507.6154,4.8000,-0.1123,0.2605,-0.0700,12.9900,NORMAL,False,,0,8.2884,2.2512,0.8923,0.0068,14.7143
13.9900,9,NORMAL,NORMAL,0.9983,0.0017,0.0000,0.3296,6.6988,5.6000,0.5642,13.6244,507.6154,4.8000,-0.1504,0.2841,-0.0700,13.9900,NORMAL,False,,0,7.0586,1.8986,0.7568,0.0051,12.2593
